2025-06-07 11:43:37 | INFO     | tori.prajna | === PRAJNA STARTUP SEQUENCE BEGIN ===
2025-06-07 11:43:37 | INFO     | tori.prajna | Assigned port: 8001
2025-06-07 11:43:37 | INFO     | tori.prajna | Using start script: C:\Users\jason\Desktop\tori\kha\prajna\start_prajna.py
2025-06-07 11:43:37 | INFO     | tori.prajna | Command: C:\ALANPY311\python.exe C:\Users\jason\Desktop\tori\kha\prajna\start_prajna.py --port 8001 --host 0.0.0.0 --log-level INFO
2025-06-07 11:43:37 | INFO     | tori.prajna | PYTHONPATH set to: C:\Users\jason\Desktop\tori\kha\prajna
2025-06-07 11:43:37 | INFO     | tori.prajna | Working directory: C:\Users\jason\Desktop\tori\kha\prajna
2025-06-07 11:43:37 | INFO     | tori.prajna | Process started with PID: 7852
2025-06-07 11:43:37 | INFO     | tori.prajna | Waiting for health check on port 8001 (max 60 attempts)
2025-06-07 11:43:37 | WARNING  | tori.prajna | [STDERR] Traceback (most recent call last):
2025-06-07 11:43:37 | WARNING  | tori.prajna | [STDERR] File "C:\Users\jason\Desktop\tori\kha\prajna\start_prajna.py", line 37, in <module>
2025-06-07 11:43:37 | WARNING  | tori.prajna | [STDERR] from prajna.config.prajna_config import load_config, PrajnaConfig
2025-06-07 11:43:37 | WARNING  | tori.prajna | [STDERR] ModuleNotFoundError: No module named 'prajna'
2025-06-07 11:43:41 | DEBUG    | tori.prajna | Health check attempt 1: HTTPConnectionPool(host='localhost', port=8001): Max retries exceeded with url: /api/health (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001A63AB11050>, 'Connection to localhost timed out. (connect timeout=2)'))
2025-06-07 11:43:42 | ERROR    | tori.prajna | Process exited early with code: 1
2025-06-07 11:43:42 | ERROR    | tori.prajna | Prajna startup timeout - failed to respond to health checks
2025-06-07 11:43:42 | ERROR    | tori.prajna | Process exited with code: 1
2025-06-07 11:43:42 | INFO     | tori.prajna | === PRAJNA STARTUP SEQUENCE FAILED ===
